city,year,weekofyear,total_cases
sj,2008,18,5
sj,2008,19,6
sj,2008,20,7
sj,2008,21,10
sj,2008,22,11
sj,2008,23,13
sj,2008,24,12
sj,2008,25,15
sj,2008,26,25
sj,2008,27,21
sj,2008,28,21
sj,2008,29,26
sj,2008,30,37
sj,2008,31,34
sj,2008,32,54
sj,2008,33,50
sj,2008,34,46
sj,2008,35,52
sj,2008,36,66
sj,2008,37,78
sj,2008,38,59
sj,2008,39,41
sj,2008,40,34
sj,2008,41,45
sj,2008,42,33
sj,2008,43,26
sj,2008,44,30
sj,2008,45,36
sj,2008,46,33
sj,2008,47,27
sj,2008,48,25
sj,2008,49,23
sj,2008,50,16
sj,2008,51,18
sj,2008,52,13
sj,2009,1,20
sj,2009,2,16
sj,2009,3,15
sj,2009,4,13
sj,2009,5,14
sj,2009,6,12
sj,2009,7,11
sj,2009,8,10
sj,2009,9,13
sj,2009,10,7
sj,2009,11,10
sj,2009,12,8
sj,2009,13,5
sj,2009,14,7
sj,2009,15,4
sj,2009,16,6
sj,2009,17,7
sj,2009,18,6
sj,2009,19,13
sj,2009,20,7
sj,2009,21,7
sj,2009,22,12
sj,2009,23,9
sj,2009,24,11
sj,2009,25,19
sj,2009,26,15
sj,2009,27,27
sj,2009,28,37
sj,2009,29,39
sj,2009,30,41
sj,2009,31,47
sj,2009,32,49
sj,2009,33,42
sj,2009,34,59
sj,2009,35,52
sj,2009,36,59
sj,2009,37,43
sj,2009,38,63
sj,2009,39,51
sj,2009,40,64
sj,2009,41,69
sj,2009,42,63
sj,2009,43,49
sj,2009,44,38
sj,2009,45,31
sj,2009,46,34
sj,2009,47,36
sj,2009,48,33
sj,2009,49,25
sj,2009,50,25
sj,2009,51,28
sj,2009,52,26
sj,2010,53,20
sj,2010,1,17
sj,2010,2,14
sj,2010,3,17
sj,2010,4,16
sj,2010,5,13
sj,2010,6,18
sj,2010,7,14
sj,2010,8,13
sj,2010,9,12
sj,2010,10,17
sj,2010,11,8
sj,2010,12,11
sj,2010,13,12
sj,2010,14,10
sj,2010,15,6
sj,2010,16,6
sj,2010,17,18
sj,2010,18,15
sj,2010,19,9
sj,2010,20,18
sj,2010,21,17
sj,2010,22,23
sj,2010,23,37
sj,2010,24,39
sj,2010,25,24
sj,2010,26,26
sj,2010,27,42
sj,2010,28,44
sj,2010,29,40
sj,2010,30,35
sj,2010,31,44
sj,2010,32,66
sj,2010,33,61
sj,2010,34,55
sj,2010,35,102
sj,2010,36,69
sj,2010,37,66
sj,2010,38,56
sj,2010,39,61
sj,2010,40,63
sj,2010,41,90
sj,2010,42,58
sj,2010,43,44
sj,2010,44,33
sj,2010,45,36
sj,2010,46,25
sj,2010,47,22
sj,2010,48,21
sj,2010,49,18
sj,2010,50,22
sj,2010,51,22
sj,2011,52,21
sj,2011,1,14
sj,2011,2,14
sj,2011,3,14
sj,2011,4,15
sj,2011,5,14
sj,2011,6,13
sj,2011,7,14
sj,2011,8,11
sj,2011,9,9
sj,2011,10,8
sj,2011,11,8
sj,2011,12,6
sj,2011,13,6
sj,2011,14,7
sj,2011,15,7
sj,2011,16,5
sj,2011,17,6
sj,2011,18,9
sj,2011,19,8
sj,2011,20,6
sj,2011,21,11
sj,2011,22,17
sj,2011,23,16
sj,2011,24,19
sj,2011,25,48
sj,2011,26,44
sj,2011,27,26
sj,2011,28,29
sj,2011,29,36
sj,2011,30,43
sj,2011,31,34
sj,2011,32,56
sj,2011,33,49
sj,2011,34,60
sj,2011,35,61
sj,2011,36,53
sj,2011,37,55
sj,2011,38,37
sj,2011,39,44
sj,2011,40,61
sj,2011,41,63
sj,2011,42,36
sj,2011,43,29
sj,2011,44,42
sj,2011,45,40
sj,2011,46,32
sj,2011,47,26
sj,2011,48,25
sj,2011,49,23
sj,2011,50,26
sj,2011,51,21
sj,2012,52,21
sj,2012,1,16
sj,2012,2,14
sj,2012,3,15
sj,2012,4,12
sj,2012,5,12
sj,2012,6,12
sj,2012,7,12
sj,2012,8,13
sj,2012,9,9
sj,2012,10,7
sj,2012,11,6
sj,2012,12,7
sj,2012,13,6
sj,2012,14,5
sj,2012,15,6
sj,2012,16,7
sj,2012,17,6
sj,2012,18,9
sj,2012,19,8
sj,2012,20,14
sj,2012,21,8
sj,2012,22,8
sj,2012,23,16
sj,2012,24,25
sj,2012,25,33
sj,2012,26,33
sj,2012,27,29
sj,2012,28,27
sj,2012,29,33
sj,2012,30,32
sj,2012,31,42
sj,2012,32,38
sj,2012,33,53
sj,2012,34,49
sj,2012,35,35
sj,2012,36,48
sj,2012,37,47
sj,2012,38,52
sj,2012,39,64
sj,2012,40,61
sj,2012,41,45
sj,2012,42,59
sj,2012,43,56
sj,2012,44,62
sj,2012,45,52
sj,2012,46,35
sj,2012,47,44
sj,2012,48,26
sj,2012,49,25
sj,2012,50,22
sj,2012,51,19
sj,2013,1,14
sj,2013,2,15
sj,2013,3,12
sj,2013,4,11
sj,2013,5,14
sj,2013,6,13
sj,2013,7,11
sj,2013,8,11
sj,2013,9,9
sj,2013,10,16
sj,2013,11,8
sj,2013,12,6
sj,2013,13,8
sj,2013,14,6
sj,2013,15,8
sj,2013,16,7
sj,2013,17,5
iq,2010,26,7
iq,2010,27,4
iq,2010,28,8
iq,2010,29,4
iq,2010,30,4
iq,2010,31,5
iq,2010,32,6
